"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126146","2020-01-01","2020","01","01","","8.6","","3.3","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","","","14","","52",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-02","2020","01","02","","7.7","","-0.4","","3.7","","14.3","","0.0","","0.1","L","0.2","","0.3","","","","2","","50",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-03","2020","01","03","","9.3","","1.8","","5.6","","12.4","","0.0","","2.5","","0.0","","2.5","","","","20","","72",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-04","2020","01","04","","9.8","","2.2","","6.0","","12.0","","0.0","","0.0","","0.0","T","0.0","T","","","20","","80",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-05","2020","01","05","","6.0","","2.5","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","","","19","","68",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-06","2020","01","06","","5.5","","0.1","","2.8","","15.2","","0.0","","0.0","","4.8","","5.4","","1","E","17","","35",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-07","2020","01","07","","","M","","M","","M","","M","","M","0.0","","2.4","","3.8","","3","","19","","50",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-08","2020","01","08","","7.7","","-4.6","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","","","1","","45",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-09","2020","01","09","","0.3","","-7.1","","-3.4","","21.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2020-01-10","2020","01","10","","2.0","","-6.8","","-2.4","","20.4","","0.0","","0.0","","4.4","","2.2","","2","E","19","","65",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-11","2020","01","11","","2.0","","-0.9","","0.6","","17.4","","0.0","","0.0","","1.4","","1.0","","3","","17","","41",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-12","2020","01","12","","2.5","","-11.2","","-4.4","","22.4","","0.0","","0.0","","0.2","","0.2","","0","T","1","","61",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-13","2020","01","13","","-11.2","","-15.1","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","1","","34","","58",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-14","2020","01","14","","-12.8","","-15.2","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","1","","35","","42",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-15","2020","01","15","","-13.3","","-15.1","","-14.2","","32.2","","0.0","","0.0","","8.2","","3.8","","2","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2020-01-16","2020","01","16","","-6.3","","-13.4","","-9.9","","27.9","","0.0","","0.0","","9.4","","6.2","","15","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2020-01-17","2020","01","17","","-4.4","","-10.8","","-7.6","","25.6","","0.0","","0.0","","0.0","","0.0","","15","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2020-01-18","2020","01","18","","1.0","","-5.7","","-2.4","","20.4","","0.0","","0.0","","1.0","","1.0","","15","","14","","41",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-19","2020","01","19","","4.0","","0.5","","2.3","","15.7","","0.0","","0.0","","0.0","T","0.0","T","14","","14","","42",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-20","2020","01","20","","5.2","","0.9","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","4","","17","","41",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-21","2020","01","21","","4.2","","0.2","","2.2","","15.8","","0.0","","0.8","","0.4","","1.2","","0","T","19","","52",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-22","2020","01","22","","4.5","","0.7","","2.6","","15.4","","0.0","","3.6","","0.2","","3.8","","","","19","","45",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-23","2020","01","23","","5.0","","1.9","","3.5","","14.5","","0.0","","0.2","","0.0","","0.2","","","","17","","46",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-24","2020","01","24","","6.5","","3.2","","4.9","","13.1","","0.0","","0.6","","0.0","","0.6","","","","19","","46",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-25","2020","01","25","","4.4","","0.1","","2.3","","15.7","","0.0","","1.0","","0.0","","1.0","","","","17","","33",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-26","2020","01","26","","6.1","","1.5","","3.8","","14.2","","0.0","","0.2","","0.0","","0.2","","","","20","","42",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-27","2020","01","27","","6.8","","3.1","","5.0","","13.0","","0.0","","0.0","T","0.0","","0.0","T","","","17","","42",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-28","2020","01","28","","6.9","","2.3","","4.6","","13.4","","0.0","","2.4","","0.0","","2.4","","","","18","","41",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-29","2020","01","29","","5.8","","3.0","","4.4","","13.6","","0.0","","0.4","","0.0","","0.4","","","","20","","67",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-30","2020","01","30","","5.0","","1.3","","3.2","","14.8","","0.0","","0.0","T","0.0","","0.0","T","","","19","","68",""
"-119.60","49.46","PENTICTON A","1126146","2020-01-31","2020","01","31","","7.7","","3.4","","5.6","","12.4","","0.0","","0.9","","0.0","","0.9","","","","19","","50",""
"-119.60","49.46","PENTICTON A","1126146","2020-02-01","2020","02","01","","11.6","","1.7","","6.7","","11.3","","0.0","","7.1","","0.0","","7.1","","","","23","","71",""
