"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126146","2015-01-01","2015","01","01","","-2.8","","-5.9","","-4.4","","22.4","","0.0","","0.0","","0.0","","0.0","","","","18","","48",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-02","2015","01","02","","-1.9","","-4.3","","-3.1","","21.1","","0.0","","0.0","","1.2","","1.0","","1","","18","","69",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-03","2015","01","03","","-2.7","","-6.5","","-4.6","","22.6","","0.0","","0.0","","1.0","","0.8","","1","","33","","48",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-04","2015","01","04","","-0.2","","-6.1","","-3.2","","21.2","","0.0","","","M","","M","","M","1","","19","","56",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-05","2015","01","05","","0.0","","-2.7","","-1.4","","19.4","","0.0","","21.6","","25.2","","43.4","","16","","17","","43",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-06","2015","01","06","","2.5","","-1.6","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","27","","15","","41",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-07","2015","01","07","","2.7","","0.6","","1.7","","16.3","","0.0","","0.0","T","0.0","","0.0","T","23","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-08","2015","01","08","","2.8","","1.4","","2.1","","15.9","","0.0","","0.0","T","0.0","","0.0","T","","","1","","32",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-09","2015","01","09","","2.3","","0.6","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","9","","16","","37",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-10","2015","01","10","","1.8","","-0.5","","0.7","","17.3","","0.0","","0.0","","0.6","","0.6","","8","","17","","35",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-11","2015","01","11","","2.9","","-2.4","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-12","2015","01","12","","2.5","","-2.3","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","6","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-13","2015","01","13","","1.7","","-0.1","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","5","","32","","41",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-14","2015","01","14","","1.4","","0.1","","0.8","","17.2","","0.0","","0.0","T","0.0","","0.0","T","5","","18","","33",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-15","2015","01","15","","1.9","","0.4","","1.2","","16.8","","0.0","","0.2","","0.0","T","0.2","","4","","19","","54",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-16","2015","01","16","","3.5","","1.0","","2.3","","15.7","","0.0","","0.0","","0.0","T","0.0","T","4","","18","","59",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-17","2015","01","17","","1.9","","0.1","","1.0","","17.0","","0.0","","0.8","","5.2","","5.6","","3","","17","","44",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-18","2015","01","18","","6.4","","0.4","","3.4","","14.6","","0.0","","2.8","","0.4","","3.2","","5","","19","","63",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-19","2015","01","19","","6.5","","0.6","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","0","","19","","39",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-20","2015","01","20","","3.1","","-5.2","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-21","2015","01","21","","-0.7","","-3.0","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","19","","48",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-22","2015","01","22","","4.1","","-1.3","","1.4","","16.6","","0.0","","0.4","","0.0","","0.4","","0","T","17","","46",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-23","2015","01","23","","4.1","","2.0","","3.1","","14.9","","0.0","","0.8","","0.0","","0.8","","0","T","17","","54",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-24","2015","01","24","","3.6","","1.9","","2.8","","15.2","","0.0","","1.6","","0.0","","1.6","","0","T","18","","46",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-25","2015","01","25","","6.7","","3.3","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","","","16","","41",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-26","2015","01","26","","5.3","","1.9","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","","","16","","43",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-27","2015","01","27","","5.8","","1.6","","3.7","","14.3","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-28","2015","01","28","","2.8","","-2.6","","0.1","","17.9","","0.0","","0.0","T","0.0","","0.0","T","","","33","","39",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-29","2015","01","29","","2.7","","1.0","","1.9","","16.1","","0.0","","1.2","","0.0","","1.2","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-30","2015","01","30","","3.8","","1.1","","2.5","","15.5","","0.0","","0.0","T","0.0","","0.0","T","","","17","","52",""
"-119.60","49.46","PENTICTON A","1126146","2015-01-31","2015","01","31","","6.8","","-2.9","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-01","2015","02","01","","3.3","","0.4","","1.9","","16.1","","0.0","","4.4","","1.0","","5.2","","0","","17","","50",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-02","2015","02","02","","3.7","","1.0","","2.4","","15.6","","0.0","","0.8","","0.8","","1.6","","","","19","","46",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-03","2015","02","03","","4.4","","-1.4","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","","","19","","50",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-04","2015","02","04","","4.0","","1.0","","2.5","","15.5","","0.0","","0.8","","0.0","","0.8","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-05","2015","02","05","","7.1","","1.6","","4.4","","13.6","","0.0","","1.2","","0.0","","1.2","","","","20","","65",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-06","2015","02","06","","12.4","","6.5","","9.5","","8.5","","0.0","","0.4","","0.0","","0.4","","","","20","","70",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-07","2015","02","07","","10.4","","7.3","","8.9","","9.1","","0.0","","0.4","","0.0","","0.4","","","","19","","54",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-08","2015","02","08","","13.0","","5.9","","9.5","","8.5","","0.0","","0.0","T","0.0","","0.0","T","","","19","","39",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-09","2015","02","09","","9.2","","4.8","","7.0","","11.0","","0.0","","5.0","","0.0","","5.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-10","2015","02","10","","8.9","","4.9","","6.9","","11.1","","0.0","","1.2","","0.0","","1.2","","","","21","","61",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-11","2015","02","11","","11.6","","5.4","","8.5","","9.5","","0.0","","0.4","","0.0","","0.4","","","","19","","37",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-12","2015","02","12","","9.5","","6.0","","7.8","","10.2","","0.0","","0.8","","0.0","","0.8","","","","16","","33",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-13","2015","02","13","","9.7","","3.2","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-14","2015","02","14","","12.9","","4.6","","8.8","","9.2","","0.0","","1.0","","0.0","","1.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-15","2015","02","15","","10.0","","-1.1","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-16","2015","02","16","","6.2","","-1.5","","2.4","","15.6","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-17","2015","02","17","","4.2","","-3.1","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-18","2015","02","18","","7.7","","-3.4","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","15","","37",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-19","2015","02","19","","6.9","","-2.9","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-20","2015","02","20","","9.9","","0.9","","5.4","","12.6","","0.0","","0.6","","0.0","","0.6","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-21","2015","02","21","","11.0","","-1.9","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","","","35","","48",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-22","2015","02","22","","6.2","","-4.9","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-23","2015","02","23","","7.8","","-5.1","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-119.60","49.46","PENTICTON A","1126146","2015-02-24","2015","02","24","","10.2","","-2.1","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","","","17","","37",""
