"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126146","2019-01-01","2019","01","01","","1.2","","-3.2","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","","","17","","39",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-02","2019","01","02","","1.4","","-0.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","0","T","19","","58",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-03","2019","01","03","","5.3","","0.8","","3.1","","14.9","","0.0","","0.0","T","0.0","","0.0","T","","","20","","63",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-04","2019","01","04","","9.0","","4.7","","6.9","","11.1","","0.0","","0.0","","0.0","","0.0","","","","20","","67",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-05","2019","01","05","","6.1","","-1.8","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-06","2019","01","06","","7.8","","-1.7","","3.1","","14.9","","0.0","","0.4","","0.0","","0.4","","","","20","","54",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-07","2019","01","07","","5.4","","-4.6","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","","","18","","42",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-08","2019","01","08","","-0.7","","-8.6","","-4.7","","22.7","","0.0","","0.0","","0.2","","0.0","T","0","T","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-09","2019","01","09","","3.8","","-2.8","","0.5","","17.5","","0.0","","0.0","","","M","1.2","","0","T","16","","39",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-10","2019","01","10","","5.3","","3.3","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","","","16","","46",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-11","2019","01","11","","5.1","","-2.3","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","","","18","","32",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-12","2019","01","12","","2.1","","-4.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-13","2019","01","13","","1.5","","0.1","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-14","2019","01","14","","0.2","","-1.1","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-15","2019","01","15","","-0.5","","-2.2","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-16","2019","01","16","","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-17","2019","01","17","","1.4","","-0.8","","0.3","","17.7","","0.0","","0.0","","3.2","","2.8","","0","T","14","","32",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-18","2019","01","18","","4.9","","1.4","","3.2","","14.8","","0.0","","1.0","","0.0","T","1.0","","","","18","","46",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-19","2019","01","19","","6.6","","3.1","","4.9","","13.1","","0.0","","3.0","","0.0","","3.0","","","","18","","65",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-20","2019","01","20","","3.6","","-3.3","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-21","2019","01","21","","3.3","","-6.7","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-22","2019","01","22","","2.8","","-5.3","","-1.3","","19.3","","0.0","","0.0","","6.0","","6.0","","0","T","16","","48",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-23","2019","01","23","","2.7","","-6.4","","-1.9","","19.9","","0.0","","0.0","","13.6","","13.6","","6","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-24","2019","01","24","","-1.3","","-6.6","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","14","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-25","2019","01","25","","0.7","","-4.2","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","12","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-26","2019","01","26","","0.1","","-3.7","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","11","","","","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-27","2019","01","27","","8.3","","-2.8","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","","","15","","50",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-28","2019","01","28","","2.2","","-7.0","","-2.4","","20.4","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-29","2019","01","29","","-1.2","","-8.9","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","8","","","M","","M"
"-119.60","49.46","PENTICTON A","1126146","2019-01-30","2019","01","30","","-0.2","","-6.2","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","7","","19","","33",""
"-119.60","49.46","PENTICTON A","1126146","2019-01-31","2019","01","31","","0.7","","-1.2","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","","","18","","46",""
"-119.60","49.46","PENTICTON A","1126146","2019-02-01","2019","02","01","","2.4","","0.0","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","7","","17","","48",""
"-119.60","49.46","PENTICTON A","1126146","2019-02-02","2019","02","02","","2.8","","-3.3","","-0.3","","18.3","","0.0","","0.0","T","0.0","","0.0","T","3","","17","","48",""
