,datetime,Year,Month,Day,tmax,tmin,tmean,precip,season,days_since_aug_1,tmin_avg_14,tmax_avg_14,tmean_avg_14,precip_total_14,tmin_avg_7,tmax_avg_7,tmean_avg_7,precip_total_7,temp_swing,temp_swing_cumulative_14,temp_swing_cumulative_7,tmin_t-1,tmax_t-1,tmean_t-1,precip_t-1,tmin_t-2,tmax_t-2,tmean_t-2,precip_t-2,sunlight,sunlight_14_total,sunlight_7_total,DD_10,DD_9,DD_8,DD_7,DD_6,DD_5,DD_0,DD_10_14,DD_9_14,DD_8_14,DD_7_14,DD_6_14,DD_5_14,DD_0_14,DD_10_sum,DD_9_sum,DD_8_sum,DD_7_sum,DD_6_sum,DD_5_sum,DD_0_sum,tmax_delta,tmax_delta_14,tmin_delta,tmin_delta_14,tmean_delta,tmean_delta_14,DD_10_delta,DD_10_delta_14,DD_9_delta,DD_9_delta_14,DD_8_delta,DD_8_delta_14,DD_7_delta,DD_7_delta_14,DD_6_delta,DD_6_delta_14,DD_5_delta,DD_5_delta_14,DD_0_delta,DD_0_delta_14,DD_5_delta_test,tmax_avg_14_delta_test,tmin_avg_14_delta_test,sunlight_delta,sunlight_delta_14,site,variety,month,year,julian_day,season_y,hardiness,hardiness_t-1,hardiness_delta,hardiness_delta_abs,hardiness_pct_chg,deacc,site_encoded,variety_encoded
0,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,Black Sage,Cabernet Franc,11,2012,306,1,,,,,,0,0,0
1,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,"Oliver, east",Cabernet Franc,11,2012,306,1,-13.7,,,,,0,5,0
2,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,"Osoyoos, northeast",Cabernet Sauvignon,11,2012,306,1,-12.0,,,,,0,9,1
3,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,"Osoyoos, northeast",Cabernet Sauvignon,11,2012,306,1,-13.5,,,,,0,9,1
4,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,"Osoyoos, southeast ",Cabernet Sauvignon,11,2012,306,1,,,,,,0,10,1
5,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,Black Sage,Cabernet Sauvignon,11,2012,306,1,,,,,,0,0,1
6,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,"Osoyoos, southeast ",Chardonnay,11,2012,306,1,,,,,,0,10,2
7,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,Black Sage,Chardonnay,11,2012,306,1,,,,,,0,0,2
8,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,Naramata Bench,Chardonnay,11,2012,306,1,,,,,,0,2,2
9,2012-11-01,2012,11,1,11.4,4.8,8.1,0.4,1,92,3.8071428571428574,10.371428571428572,7.121428571428571,8.0,4.685714285714285,9.214285714285714,6.985714285714286,8.0,6.6000000000000005,77.60000000000001,31.2,8.8,10.2,9.5,0.0,9.0,12.4,10.7,5.8,10.41972222222222,150.7613888888889,74.35388888888889,0.0,0.0,0.0999999999999996,1.0999999999999996,2.1,3.1,0.0,5.999999999999998,10.7,16.7,23.2,30.2,37.8,0.0,207.7,252.2,300.5,353.2,407.9,463.5,0.0,1.200000000000001,-4.300000000000001,-4.000000000000001,10.0,-1.4000000000000004,2.8,0.0,0.0,-0.5,0.5,-1.4000000000000004,1.5,-1.4000000000000004,2.5,-1.4000000000000004,2.8,-1.4000000000000004,2.8,0.0,0.0,-37.30000000000001,-6.928571428571429,0.1785714285714288,-0.0397222222222239,-0.5844444444444434,"OK Falls, east",Chardonnay,11,2012,306,1,-17.5,,,,,0,3,2
