2018 - 2019,Variety,6-Nov,20-Nov,4-Dec,18-Dec,2-Jan,15-Jan,29-Jan,12-Feb,26-Feb,12-Mar,26-Mar,9-Apr
Osoyoos northeast,Pinot noir,-19.2,-23.4,-24.7,-24,-24.3,-24.5,-25.1,-24.8,-24.9,-25.1,-20.3,-12.6
"OK Falls, east",Pinot noir,-19.7,-22.7,-23.3,-23,-24.5,-23.2,-24,-23.2,-24.8,-24,-19.3,-13.3
Naramata Bench,Pinot noir,-17.7,-22.1,-23.2,-22.8,-23.1,-23,-23.8,-24.2,-24.3,-24.2,-19.3,-12.9
Black Sage,Pinot noir,-18.2,-23.2,-24.4,-23.9,-24.4,-24.2,-24.8,-25.3,-25.3,-25,-18.7,-12.3
Kelowna,Pinot noir,-17.8,,-23.8,-23.2,-24.3,-23.6,-24.2,,-24.5,-23.4,-16,
Oliver east,Riesling,-20,-22.1,-22.9,-22.6,-24.3,-23.3,-25.2,-24.5,-25.2,-25.9,-21,-16.1
Naramata Bench,Riesling,-18.1,-24,-24.9,-24.2,-24.9,-25,-25.4,-23.6,-26.2,-25,-20.5,-11.5
Black Sage,Riesling,-19.6,-23.5,-24.4,-24.4,-25.3,-24.6,-27.1,-23.4,-27,-27.4,-21.9,-13.3
West Kelowna,Riesling,-19.1,,-23.3,-24.1,-24.8,-24.3,-25.6,,-26.9,-25.8,-18.8,
Black Sage,Riesling,-18.7,-22.7,-23.9,-23.7,-24.6,-25.1,-24.1,-23.4,-24.3,-24.6,-19.5,-12
Oliver east,Sauv blanc,-15.7,-21.3,-22.2,-22.4,-23.2,-22.7,-23.3,-23.9,-24.9,-23.4,-20.7,-12.9
Oliver east,Sauv blanc,-18.1,-23,-23.8,-23,-24.9,-24.2,-24.2,-24.7,-25.3,-24.3,-17.9,-11.4
Osoyoos northeast,Sauv blanc,-17.1,-20.6,-22.1,-21.5,-21.7,-22.7,-22.8,-23.1,-22,-22.4,-15.6,-8.6
Osoyoos northeast,Sauv blanc,-18.2,-22.9,-23.7,-22.1,-23,-22.6,-23.2,-25.4,-23,-22.5,-17.9,-10
Osoyoos northeast,Sauv blanc,-18,-21.5,-22.9,-22.7,-23.6,-23.4,-23.2,-23.6,-22.2,-22.1,-16.6,-9.2
Oliver east,Sauv blanc,-17.8,-22.5,-23,-22.9,-23.4,-23.7,-24.3,-24,-24.1,-23.8,-19.4,-12
Oliver east,Sauv blanc,-18,-21.3,,,,,,,,,,
Black Sage,Sauv blanc,-14.9,-22,-22.9,-22.1,-23.2,-23,-23.2,-25.3,-23.6,-23,-17,-10.1
Black Sage,Sauv blanc,-17.7,-22.8,-22.1,-22,-22.6,-22.7,-24.1,-24.6,-24.5,-23.9,-19.9,-10.8
Osoyoos northeast,Shiraz,-15.2,-19.9,-22,-21.9,-22.8,-23.2,-23.3,-23.2,-23.8,-22.6,-16.8,-11.3
Osoyoos northeast,Shiraz,-16.1,-21,-22.3,-22.6,-23.4,-22.8,-23.6,-24.6,-23.4,-23.7,-18.7,-12.6
"Osoyoos, southeast ",Shiraz,-18.1,-23,-23.5,-23.7,-23.3,-24.2,-25.2,-26.6,-24.6,-24.1,-18.6,-11.8
Black Sage,Shiraz,-16.7,-22.4,-23.9,-23.2,-24.1,-23.7,-24.5,-24.4,-25.4,-24.1,-18.9,-12.6
"Osoyoos, southeast ",Shiraz cl.174,-15.4,-21.2,-21.7,-22.5,-23.9,-23.5,-21.8,-23.3,-23.5,-22.8,-16.8,-11.3
"Oliver, south",Tempranillo,-18.2,-23.2,-22.9,-22.1,-21.6,-22.1,-22.2,-22.9,-22.2,-21.7,-17.4,
"Osoyoos, southeast ",Viognier,-16.9,-21.6,-22.8,-22.6,-24.5,-23.1,-23.9,-22.6,-24.5,-24.7,-19.8,-12.9
Osoyoos west,Viognier,-18.7,-22.8,-25,-23.6,-24.1,-24.3,-25.9,-24.4,-25.5,-24.1,-18.3,-11.1
"Osoyoos, southeast ",Viognier,,-22.3,-23.2,-23.8,-24.4,-24.4,-25.7,-24.3,-24.6,-25.3,-20.5,-12.1
Osoyoos northeast,Zinfandel,-16.2,-20.4,-22.7,-21.6,-22.8,-23,-24,-24.6,-24.3,-23.4,-17.6,-10.3
