"","draw","site_encoded","Intercept","slope"
"1",174,"0",2.79543125094265,0.0968725675727164
"2",233,"0",2.90018514188747,0.0938494561550861
"3",566,"0",2.72085381974822,0.0884171489596168
"4",641,"0",2.99291896218238,0.0936760992131666
"5",658,"0",3.385764705094,0.0928313838470527
"6",708,"0",3.27780278600371,0.0871270979714332
"7",794,"0",2.86971753818839,0.0930417016598099
"8",820,"0",2.69010104858428,0.0974170059758465
"9",865,"0",2.99536583320031,0.102139518288295
"10",1008,"0",3.19298317737544,0.094549346542198
"11",1106,"0",2.73995966464663,0.093080309983899
"12",1118,"0",3.09950468156507,0.0972484864164549
"13",1340,"0",2.68995221922821,0.0921164064609012
"14",1491,"0",2.75547448896421,0.0872079116423505
"15",1494,"0",2.72271606555201,0.0892194091189936
"16",1553,"0",3.0074899286028,0.103764554189103
"17",1560,"0",2.97582788256323,0.088125881914174
"18",1620,"0",3.13938642595633,0.0904787154274419
"19",1796,"0",2.38926008812852,0.0909652201768686
"20",1886,"0",2.99936222820389,0.0881215687208213
"21",1957,"0",2.87593732735821,0.0951376480286806
"22",1975,"0",3.14076805582935,0.0879468012443433
"23",2083,"0",2.88976551070466,0.0891330482182005
"24",2113,"0",3.0234472416686,0.0958903095191252
"25",2160,"0",3.05981196688676,0.0895351929837289
"26",2397,"0",2.91042725943128,0.0889765319687099
"27",2447,"0",3.12300488945169,0.0923915636959565
"28",2487,"0",2.69689277170774,0.0936966346744378
"29",2543,"0",2.98276327329601,0.093639914375956
"30",2587,"0",2.97299532759151,0.0975420403707654
"31",2610,"0",2.89945619788157,0.0910603166037756
"32",2652,"0",3.58098851985193,0.0969162561827569
"33",2690,"0",3.16344087136511,0.0915983244493065
"34",2717,"0",3.06735606338027,0.0908095220999566
"35",2721,"0",2.85412111996616,0.0936263458335561
"36",2750,"0",3.19561826036352,0.0901976899627329
"37",2784,"0",2.86003430102628,0.10343608927155
"38",2790,"0",2.86828094204688,0.0948803710621574
"39",2861,"0",2.74076019109714,0.0871795929921101
