2016 - 2017,Variety,8-Nov,22-Nov,6-Dec,20-Dec,3-Jan,17-Jan,31-Jan,14-Feb,28-Feb,14-Mar,28-Mar,11-Apr
"Osoyoos, southeast ",Cabernet Franc,-14.8,-20.8,-22.8,-26.6,,-26.4,,-25.6,-23.7,-19,-13.7,
Black Sage,Cabernet Franc,-16.1,-21,-24.3,-25.4,-26.1,-24.4,-24.8,-24.9,-23.9,-21.2,-15.7,-12.5
Oliver east,Cabernet Franc,-17.7,-21.5,-24,-25,-25.4,-24.4,-24.5,-25,-23.8,-21.9,-16.3,-13.2
"Osoyoos, southeast ",Cabernet Sauvignon,-12.9,-18.6,-22.7,-23.2,-24.6,-24.1,-23.2,-23.2,-22,-18.6,-14.9,-11.3
Black Sage,Cabernet Sauvignon,-15.2,-19.9,-22.8,-24.3,-23.7,-25.2,-22.8,-23.2,-22.1,-20.3,-16.3,-13.6
Osoyoos northeast,Cabernet Sauvignon,-17.4,-20.7,-22.6,-23.9,-24.5,-24.2,-22.5,-23.7,-21.9,-20.5,-17.2,-13.6
Osoyoos northeast,Cabernet Sauvignon,-15.1,-18.4,-22.7,-23.7,-25.1,-24.7,-22.5,-23.4,-21.8,-20.5,-17.4,-13.8
"Osoyoos, southeast ",Chardonnay,-16.7,-21.6,-23.3,-23.4,,-26.1,,-24.5,-22.8,-19.8,-14.3,
Black Sage,Chardonnay,-17.4,-21.8,-23.3,-25.8,,-26.8,,-25.1,-23.9,-20.9,-16,
Naramata bench,Chardonnay,-16.1,-19.5,-23.7,-24.6,-24.2,-25.5,-23.8,-23.2,-22.2,-20.4,-15.6,-13.6
"OK Falls, east",Chardonnay,-17.2,-20.4,-23.1,-23.7,-24.9,-26,-23.4,-23.1,-22.7,-20.4,-14.8,-13.7
Oliver east,Chardonnay,-18.8,-21.6,-24.1,-24.7,-25,-25.8,-23.5,-24.5,-22.8,-21.1,-15.9,-13.7
Kelowna,Gewurztraminer,-15.3,-18,-21.4,-22.6,-22.8,-23.2,-21.5,-21.8,-21.4,-18,-16.2,-13
"OK Falls, west",Gewurztraminer,-15.2,-21.1,-24,-24.4,-24.4,-24.8,-22.6,-21.6,-20.8,-18.6,-15.8,-14
Oliver east,Gewurztraminer,-17.6,-21,-23.4,-22.4,-24.4,-24.8,-22.3,-21.6,-21.2,-20.4,-16.6,-14.3
Osoyoos west,Merlot,-12.8,-18.3,-20.7,-23.7,,-26.2,,-22.6,-21.8,-19.7,-15.4,
"Oliver, west",Merlot,-14,-19.2,-22.3,-21.1,-23.8,-22.6,-21.1,-23,-21.1,-18.2,-15.7,-12.8
Osoyoos northeast,Merlot,-14.4,-19.5,-21.9,-23.6,-24.7,-25.3,-22.6,-23.6,-22.3,-20.9,-15.7,-13.1
Black Sage,Merlot,-17.6,-20.1,-22.3,-23.6,-25,-26.5,-23.3,-23.5,-22,-19.7,,
Black Sage,Pinot blanc,-17.5,-20.8,-23.9,-23.6,-24.9,-23.5,-24.6,-25.4,-23.8,-21.3,-18.2,-14.2
