2016 - 2017,Variety,8-Nov,22-Nov,6-Dec,20-Dec,3-Jan,17-Jan,31-Jan,14-Feb,28-Feb,14-Mar,28-Mar,11-Apr
Oliver east,Pinot blanc,-18.6,-21.4,-23.8,-24.4,-24.8,-25.9,-24.2,-24.5,-23.8,-19.7,-17.8,-15.6
Oliver east,Pinot gris,-18.1,-21.8,-23.2,-27.3,,-25.6,,-25.1,-24.7,-21.4,-17.5,
Black Sage,Pinot gris,-17.9,-21.2,-24.6,,-26.6,-25,-25.7,-25.8,-24.3,-21.9,-17.5,-14.7
Naramata bench,Pinot gris,-16,-15.7,-21.9,-23.9,-25.3,-23.9,-23.7,-23.8,-23,-17.8,-14.2,-11.9
"OK Falls, east",Pinot gris,-18.9,-21.6,-24.2,-23.3,-27,-25.1,-24.5,-25.2,-24.6,-22.7,-17.9,-15.2
Oliver east,Pinot gris,-18.1,-21.3,-23.7,-25.2,-25.5,-24.2,-24.9,-25.7,-23.7,-21.9,-17,-14.1
Naramata bench,Pinot noir,-15.5,-16.6,-22.5,-24.1,-25.5,-25.7,-23.9,-24.4,-23.7,-17.5,-14.9,-12.3
Black Sage,Pinot noir,-17.5,-21.9,-23.8,-25.1,-26.1,-23.8,-24.5,-25.8,-24.2,-21.2,-17.5,-13.7
Kelowna,Pinot noir,-16.2,-17.2,-22,-24.8,-25.8,-24.7,-24.3,-24.8,-23.2,-18.9,-16.2,-12.9
Osoyoos northeast,Pinot noir,-18.3,-21.2,-23.6,-24.4,-27,,-24.3,-24.9,-24.1,-21.4,-19.4,-14.9
Naramata bench,Riesling,-15.6,-17.6,-23.2,-25,-26.5,-25.8,-24.6,-24.6,-24,-20,-15.4,-12.9
Black Sage,Riesling,-18.3,-22.2,-24.3,-24.4,-23.9,-23.4,-24.6,-26.1,-24.3,-22.1,-18.4,-14.5
Black Sage,Riesling,-19.1,-23.4,-26.3,-26.8,-27.5,-23.6,-26.1,-26.8,-24.1,-23.4,-19.6,-17
West Kelowna,Riesling,-16.5,-15.9,-23,-24.6,-25.8,-25.2,-23.9,-23.9,-23.2,-19.6,-16.5,-12.5
Oliver east,Riesling,-17.8,-21.6,-23.5,-23.8,-25.3,-24.5,-23.6,-25.1,-23.9,-22.2,-18.7,-15.7
Oliver east,Sauvignon blanc,-17.9,-21.5,-23.5,-23.5,-25.3,-24,-21.8,-23.1,-22.2,-20.3,-16.1,-13.9
Oliver east,Sauvignon blanc,-17.5,-20.6,-23,-24.2,-26.7,-26.6,-22.9,-22.1,-21.9,-20.5,-18.4,-15.3
"Osoyoos, southeast ",Shiraz,-13.8,-18,-20.4,-22.6,,-25.6,,-23.4,-22.7,-19.9,-16.4,
"Osoyoos, southeast ",Shiraz,-14,-16.6,-20.3,-22.3,,,,-24,-21.9,-19.1,-15.6,
"Osoyoos, southeast ",Shiraz,-16.7,-20.5,-23.2,-24.3,-26,-23.1,-23.9,-24.4,-23.6,-20.4,-16.3,-13.1
Black Sage,Shiraz,-16.1,-20.4,-23.7,-24.6,-25,-23.6,-23.8,-24.3,-22.9,-21.5,-18.2,-14.7
Osoyoos northeast,Shiraz,-14.5,-18.2,-21.1,-23.1,-24,-24.3,-22.3,-22.9,-22.1,-20.1,-15.2,-12.3
Osoyoos northeast,Shiraz,-16,-19.3,-21.6,-22.4,-24.2,-24.1,-22.5,-23.2,-21.8,-19.9,-16.9,-13.6
Osoyoos west,Viognier,-13.7,-20,-22.5,-27.1,,,,-23.1,-23.7,-21.8,-16.2,
,,-16.4,-20,-23,-24.2,-25.2,-24.8,-23.6,-24.1,-22.9,-20.4,-16.5,-13.7
