"","draw","site_encoded","Intercept","slope"
"1",405,"0",3.47954667233533,0.0907896056306078
"2",411,"0",3.19251644647595,0.095743649517064
"3",601,"0",3.09648542445266,0.082751865093269
"4",673,"0",2.82220778565869,0.0942384483446391
"5",805,"0",3.12913073405136,0.0939636203346031
"6",817,"0",2.99438426066053,0.0975405735086165
"7",903,"0",3.1531009402271,0.0981733237418387
"8",1021,"0",3.17072515404232,0.0910712833948021
"9",1120,"0",3.24725816421848,0.0892401626544517
"10",1152,"0",3.25531885618271,0.091006575627716
"11",1207,"0",3.01231500122698,0.0814656261751109
"12",1216,"0",3.25666649579174,0.0846492961991833
"13",1238,"0",3.12935246283968,0.0848253076663295
"14",1261,"0",3.34007500130839,0.0914593245187937
"15",1397,"0",3.2682294005994,0.0856150763098086
"16",1467,"0",3.12192916526572,0.0913606942509948
"17",1573,"0",3.32352825404226,0.0831011187170255
"18",1703,"0",3.28548005649407,0.0918451701150778
"19",1718,"0",3.2302124772456,0.0942684474866635
"20",1743,"0",3.1809762207266,0.0868445149359144
"21",1780,"0",3.17540267794379,0.0907990198978439
"22",1879,"0",2.74516436007748,0.0841857718298771
"23",1951,"0",3.67443370836745,0.086674271976101
"24",2003,"0",3.07297942542819,0.0869026681126569
"25",2027,"0",3.09676978983271,0.0922744343030747
"26",2035,"0",3.37705020210771,0.087731711818053
"27",2073,"0",3.01018907274778,0.0858837800468555
"28",2084,"0",3.17866378053637,0.0806760617341131
"29",2166,"0",3.10484444107455,0.0933672967510742
"30",2336,"0",3.00437419286444,0.0825895040577879
"31",2401,"0",3.33567212837911,0.0859957867473068
"32",2422,"0",3.31412608245768,0.0864530411070297
"33",2440,"0",3.10930697022486,0.0810446494454901
"34",2615,"0",3.0801653406862,0.0886655163094757
"35",2777,"0",3.14582132685695,0.0824273685112322
"36",2872,"0",2.95554168686988,0.0796404633786401
"37",2987,"0",3.1412735024769,0.0895725614292724
"38",3174,"0",3.5706422972997,0.0891618449588287
"39",3261,"0",3.81793233174111,0.07929311616941
"40",3268,"0",3.04085042634266,0.0870348082971891
"41",3322,"0",3.14690306604555,0.0823196328877791
"42",3505,"0",3.20555349064928,0.0927477804028262
"43",3532,"0",3.17960509578026,0.0834308616008327
"44",3580,"0",3.66724984905412,0.084032243444147
"45",3598,"0",3.35326124080913,0.0847877011636091
"46",3653,"0",2.99490625897445,0.0785008623961372
"47",3841,"0",3.2278480865208,0.0897570483386059
"48",3883,"0",3.12769065910913,0.0944781015192764
"49",3936,"0",3.32869601718452,0.0888354909377143
"50",3971,"0",3.23614838109416,0.0913117524314517
"51",405,"1",3.42423802666198,0.08926808004221
"52",411,"1",3.30700258394833,0.0940867886659024
"53",601,"1",3.01555213816509,0.0871398195045207
"54",673,"1",2.822056785791,0.0875499594789817
"55",805,"1",3.09121024580054,0.0854375874339603
"56",817,"1",2.97485875269744,0.0827678797716582
